id,name,set,set_name,rarity,type_line,colors,color_identity,mana_cost,power,toughness,oracle_text,keywords
03fac3f2-68f5-4f6f-940d-285508fccdea,Groundswell,j22,Jumpstart 2022,common,Instant,['G'],['G'],{G},,,"Target creature gets +2/+2 until end of turn.
Landfall — If you had a land enter the battlefield under your control this turn, that creature gets +4/+4 until end of turn instead.",['Landfall']
04099735-bc73-40ae-bc28-0ad5c96feb12,Oathsworn Vampire,j22,Jumpstart 2022,uncommon,Creature — Vampire Knight,['B'],['B'],{1}{B},2,2,"Oathsworn Vampire enters the battlefield tapped.
You may cast Oathsworn Vampire from your graveyard if you gained life this turn.",[]
051c690b-5d10-4fbc-9ca1-12627bf070f3,Grotag Night-Runner,j22,Jumpstart 2022,uncommon,Creature — Goblin Rogue,['R'],['R'],{2}{R},2,3,"Whenever Grotag Night-Runner deals combat damage to a player, exile the top card of your library. You may play that card this turn.",[]
052864bb-6f76-482a-961e-b427af135da0,Pounce,j22,Jumpstart 2022,common,Instant,['G'],['G'],{1}{G},,,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.),['Fight']
0538bd14-fc75-4e1b-8183-8e852b78fa9d,Electrify,j22,Jumpstart 2022,common,Instant,['R'],['R'],{3}{R},,,Electrify deals 4 damage to target creature.,[]
05860b72-fb1b-44d8-9275-12863724a9ef,Not Forgotten,j22,Jumpstart 2022,uncommon,Sorcery,['W'],['W'],{1}{W},,,Put target card from a graveyard on the top or bottom of its owner's library. Create a 1/1 white Spirit creature token with flying.,[]
060518c9-a76c-410e-8a90-fc1d24747f74,Jousting Lance,j22,Jumpstart 2022,common,Artifact — Equipment,[],[],{2},,,"Equipped creature gets +2/+0.
As long as it's your turn, equipped creature has first strike.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",['Equip']
0614fe56-aafb-4e7b-96b9-a940735da560,Quarry Beetle,j22,Jumpstart 2022,uncommon,Creature — Insect,['G'],['G'],{4}{G},4,5,"When Quarry Beetle enters the battlefield, you may return target land card from your graveyard to the battlefield.",[]
0633d38e-de0b-4f14-abbb-ac9260887c4d,Seat of the Synod,j22,Jumpstart 2022,common,Artifact Land,[],['U'],,,,{T}: Add {U}.,[]
06488720-9875-483a-b163-f620692ef627,Gorging Vulture,j22,Jumpstart 2022,common,Creature — Bird,['B'],['B'],{2}{B},2,2,"Flying
When Gorging Vulture enters the battlefield, mill four cards. You gain 1 life for each creature card milled this way. (To mill a card, put the top card of your library into your graveyard.)","['Flying', 'Mill']"
069b3c69-ee4c-4fc9-981e-62db77f9821d,Kargan Dragonrider,j22,Jumpstart 2022,common,Creature — Human Warrior,['R'],['R'],{1}{R},2,2,"As long as you control a Dragon, Kargan Dragonrider has flying. (It can't be blocked except by creatures with flying or reach.)",[]
06a89661-47a3-4827-8c60-532c3934aa45,Gearsmith Guardian,j22,Jumpstart 2022,common,Artifact Creature — Construct,[],[],{5},3,5,Gearsmith Guardian gets +2/+0 as long as you control a blue creature.,[]
06dbfdac-059c-411c-aeac-6d849ee54212,Alseid of Life's Bounty,j22,Jumpstart 2022,uncommon,Enchantment Creature — Nymph,['W'],['W'],{W},1,1,"Lifelink
{1}, Sacrifice Alseid of Life's Bounty: Target creature or enchantment you control gains protection from the color of your choice until end of turn.",['Lifelink']
075cac04-9397-4edb-b49a-485dd58dcae1,Cultivate,j22,Jumpstart 2022,common,Sorcery,['G'],['G'],{2}{G},,,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",[]
07d1335e-f83e-41f6-b125-a906cee67af8,Panharmonicon,j22,Jumpstart 2022,rare,Artifact,[],[],{4},,,"If an artifact or creature entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.",[]
07dccb5f-dca4-44d1-bbbf-a84dd016fbb1,Young Wolf,j22,Jumpstart 2022,common,Creature — Wolf,['G'],['G'],{G},1,1,"Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",['Undying']
0877c7da-e606-4c24-822a-2af987527361,Daybreak Chaplain,j22,Jumpstart 2022,common,Creature — Human Cleric,['W'],['W'],{1}{W},1,3,Lifelink (Damage dealt by this creature also causes you to gain that much life.),['Lifelink']
0884ffe1-4f4c-40a4-88c2-d34a19d80dd9,Glint-Horn Buccaneer,j22,Jumpstart 2022,rare,Creature — Minotaur Pirate,['R'],['R'],{1}{R}{R},2,4,"Haste
Whenever you discard a card, Glint-Horn Buccaneer deals 1 damage to each opponent.
{1}{R}, Discard a card: Draw a card. Activate only if Glint-Horn Buccaneer is attacking.",['Haste']
08bc1849-f601-4519-a92e-c4d4216b209a,Eyekite,j22,Jumpstart 2022,common,Creature — Drake,['U'],['U'],{1}{U},1,2,"Flying
Eyekite gets +2/+0 as long as you've drawn two or more cards this turn.",['Flying']
095a1dcb-fb19-4449-9148-851b7e06c16f,Hydra's Growth,j22,Jumpstart 2022,uncommon,Enchantment — Aura,['G'],['G'],{2}{G},,,"Enchant creature
When Hydra's Growth enters the battlefield, put a +1/+1 counter on enchanted creature.
At the beginning of your upkeep, double the number of +1/+1 counters on enchanted creature.",['Enchant']
095ccd82-4898-4506-84dc-87da136470c6,Eternity Snare,j22,Jumpstart 2022,uncommon,Enchantment — Aura,['U'],['U'],{5}{U},,,"Enchant creature
When Eternity Snare enters the battlefield, draw a card.
Enchanted creature doesn't untap during its controller's untap step.",['Enchant']
09994b67-4b83-4b23-834b-73bae87e8272,Blighted Fen,j22,Jumpstart 2022,uncommon,Land,[],['B'],,,,"{T}: Add {C}.
{4}{B}, {T}, Sacrifice Blighted Fen: Target opponent sacrifices a creature.",[]
0a479838-b6b1-4d83-9104-0a79f3b934c7,Plains,j22,Jumpstart 2022,common,Basic Land — Plains,[],['W'],,,,({T}: Add {W}.),[]
0a7d0a1e-4d80-4ae5-be07-38ab6d48df36,Military Intelligence,j22,Jumpstart 2022,uncommon,Enchantment,['U'],['U'],{1}{U},,,"Whenever you attack with two or more creatures, draw a card.",[]
0aa7a9a0-43ca-4bce-9ed8-dfe0b258dca7,Spectral Steel,j22,Jumpstart 2022,uncommon,Enchantment — Aura,['W'],['W'],{1}{W},,,"Enchant creature
Enchanted creature gets +2/+2.
{1}{W}, Exile Spectral Steel from your graveyard: Return another target Aura or Equipment card from your graveyard to your hand.",['Enchant']
0ab54275-240c-4f32-9e80-c6a74f90a55e,Valorous Stance,j22,Jumpstart 2022,uncommon,Instant,['W'],['W'],{1}{W},,,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",[]
0b1b335f-16f3-474e-8bdc-7453b2fc62bc,Gaea's Protector,j22,Jumpstart 2022,common,Creature — Elemental Warrior,['G'],['G'],{3}{G},4,2,Gaea's Protector must be blocked if able.,[]
0b9c68ff-1fe4-42ef-8d1f-43120de5c1ff,"Krenko, Mob Boss",j22,Jumpstart 2022,rare,Legendary Creature — Goblin Warrior,['R'],['R'],{2}{R}{R},3,3,"{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control.",[]
0ba97da8-0106-4e8b-b58b-8f2d63e3d618,"Kenessos, Priest of Thassa",j22,Jumpstart 2022,rare,Legendary Creature — Merfolk Cleric,['U'],"['G', 'U']",{1}{U},1,3,"If you would scry a number of cards, scry that many cards plus one instead.
{3}{G/U}: Look at the top card of your library. If it's a Kraken, Leviathan, Octopus, or Serpent creature card, you may put it onto the battlefield. If you don't put the card onto the battlefield, you may put it on the bottom of your library.",[]
0c67a683-4e1d-4a64-952d-a1c27a34ed1d,Goldspan Dragon,j22,Jumpstart 2022,mythic,Creature — Dragon,['R'],['R'],{3}{R}{R},4,4,"Flying, haste
Whenever Goldspan Dragon attacks or becomes the target of a spell, create a Treasure token.
Treasures you control have ""{T}, Sacrifice this artifact: Add two mana of any one color.""","['Flying', 'Treasure', 'Haste']"
0cace1a3-34df-45d0-b653-b120b3617d40,Master of the Wild Hunt,j22,Jumpstart 2022,mythic,Creature — Human Shaman,['G'],['G'],{2}{G}{G},3,3,"At the beginning of your upkeep, create a 2/2 green Wolf creature token.
{T}: Tap all untapped Wolf creatures you control. Each Wolf tapped this way deals damage equal to its power to target creature. That creature deals damage equal to its power divided as its controller chooses among any number of those Wolves.",[]
0d42086a-74b3-4700-b070-95e1357ae527,Infantry Veteran,j22,Jumpstart 2022,common,Creature — Human Soldier,['W'],['W'],{W},1,1,{T}: Target attacking creature gets +1/+1 until end of turn.,[]
0d6e6918-7941-46f0-b6d7-83e0c95c6938,Takenuma Bleeder,j22,Jumpstart 2022,common,Creature — Ogre Shaman,['B'],['B'],{2}{B},3,3,"Whenever Takenuma Bleeder attacks or blocks, you lose 1 life if you don't control a Demon.",[]
0de6fc60-89ad-4c6f-a734-5344e5b954fa,Dutiful Replicator,j22,Jumpstart 2022,common,Artifact Creature — Assembly-Worker,[],[],{3},3,2,"When Dutiful Replicator enters the battlefield, you may pay {1}. When you do, create a token that's a copy of target token you control not named Dutiful Replicator.",[]
0e2bc701-2a18-4e49-acef-5e18ebfba64f,Rigging Runner,j22,Jumpstart 2022,uncommon,Creature — Goblin Pirate,['R'],['R'],{R},1,1,"First strike
Raid — Rigging Runner enters the battlefield with a +1/+1 counter on it if you attacked this turn.","['First strike', 'Raid']"
0e6fc996-17ba-4090-bf82-0c2eba93a81e,"Kiki-Jiki, Mirror Breaker",j22,Jumpstart 2022,mythic,Legendary Creature — Goblin Shaman,['R'],['R'],{2}{R}{R}{R},2,2,"Haste
{T}: Create a token that's a copy of target nonlegendary creature you control, except it has haste. Sacrifice it at the beginning of the next end step.",['Haste']
0ef90fdf-a88b-4060-85cf-e0180f685bd1,Pit Keeper,j22,Jumpstart 2022,common,Creature — Human Wizard,['B'],['B'],{1}{B},2,1,"When Pit Keeper enters the battlefield, if you have four or more creature cards in your graveyard, you may return target creature card from your graveyard to your hand.",[]
0f0b9478-0fe5-4c4c-b634-bde8bc225195,Phantom Nantuko,j22,Jumpstart 2022,rare,Creature — Insect Spirit,['G'],['G'],{2}{G},0,0,"Trample
Phantom Nantuko enters the battlefield with two +1/+1 counters on it.
If damage would be dealt to Phantom Nantuko, prevent that damage. Remove a +1/+1 counter from Phantom Nantuko.
{T}: Put a +1/+1 counter on Phantom Nantuko.",['Trample']
0f33bd73-e15f-4bc2-8053-b34f849c1a85,Enlarge,j22,Jumpstart 2022,uncommon,Sorcery,['G'],['G'],{3}{G}{G},,,Target creature gets +7/+7 and gains trample until end of turn. It must be blocked this turn if able. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.),[]
0f71ff90-13ff-4ac6-8bdd-2cf53cc24ec1,Epicure of Blood,j22,Jumpstart 2022,common,Creature — Vampire,['B'],['B'],{4}{B},4,4,"Whenever you gain life, each opponent loses 1 life.",[]
0fce3a3a-56d8-4895-8110-27e5480e15fd,Deadbridge Goliath,j22,Jumpstart 2022,rare,Creature — Insect,['G'],['G'],{2}{G}{G},5,5,"Scavenge {4}{G}{G} ({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",['Scavenge']
0fd33b41-e8f4-46e2-9a44-9cba5758a6fb,Aethershield Artificer,j22,Jumpstart 2022,uncommon,Creature — Dwarf Artificer,['W'],['W'],{3}{W},3,3,"At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",[]
1065b467-f24b-4add-bced-1d4709df1adb,Devouring Swarm,j22,Jumpstart 2022,common,Creature — Insect,['B'],['B'],{1}{B}{B},2,1,"Flying
Sacrifice a creature: Devouring Swarm gets +1/+1 until end of turn.",['Flying']
10e27dd9-5b6a-4dab-9ee6-ad083b5c0911,Blaze,j22,Jumpstart 2022,uncommon,Sorcery,['R'],['R'],{X}{R},,,Blaze deals X damage to any target.,[]
10e65e74-14fc-4286-84d3-36c70d6dcf46,Stitcher's Supplier,j22,Jumpstart 2022,uncommon,Creature — Zombie,['B'],['B'],{B},1,1,"When Stitcher's Supplier enters the battlefield or dies, mill three cards.",['Mill']
1258c7d4-cc4f-47c2-b346-27274bfee151,Shambling Ghoul,j22,Jumpstart 2022,common,Creature — Zombie,['B'],['B'],{1}{B},2,3,Shambling Ghoul enters the battlefield tapped.,[]
1265ed45-2954-4fca-b13f-5c1afd1ef134,Skirsdag High Priest,j22,Jumpstart 2022,rare,Creature — Human Cleric,['B'],['B'],{1}{B},1,2,"Morbid — {T}, Tap two untapped creatures you control: Create a 5/5 black Demon creature token with flying. Activate only if a creature died this turn.",['Morbid']
128351fb-2ce0-4439-982a-9cc741936992,Gravecrawler,j22,Jumpstart 2022,rare,Creature — Zombie,['B'],['B'],{B},2,1,"Gravecrawler can't block.
You may cast Gravecrawler from your graveyard as long as you control a Zombie.",[]
12fed3bc-6ce1-409c-9eac-ce6fd12d9ea8,Blisterspit Gremlin,j22,Jumpstart 2022,common,Creature — Gremlin,['R'],['R'],{R},1,1,"{1}, {T}: Blisterspit Gremlin deals 1 damage to each opponent.
Whenever you cast a noncreature spell, untap Blisterspit Gremlin.",[]
15f94348-6c9a-4d0e-975c-618b4a540ad4,Brazen Wolves,j22,Jumpstart 2022,common,Creature — Wolf,['R'],['R'],{2}{R},2,3,"Whenever Brazen Wolves attacks, it gets +2/+0 until end of turn.",[]
16e18c93-7707-471a-a5f0-4079a9c6003b,Bury in Books,j22,Jumpstart 2022,common,Instant,['U'],['U'],{4}{U},,,"This spell costs {2} less to cast if it targets an attacking creature.
Put target creature into its owner's library second from the top.",[]
170914cc-3c3d-4929-a45d-836a5b8a4090,Starnheim Aspirant,j22,Jumpstart 2022,uncommon,Creature — Human Cleric,['W'],['W'],{2}{W},2,2,Angel spells you cast cost {2} less to cast.,[]
186d8209-cd48-465b-8f39-f337e0e0a820,Gavony Unhallowed,j22,Jumpstart 2022,common,Creature — Zombie,['B'],['B'],{3}{B},2,4,"Whenever another creature you control dies, put a +1/+1 counter on Gavony Unhallowed.",[]
1879b406-c382-47e6-af33-439a164438ae,Goblin Psychopath,j22,Jumpstart 2022,uncommon,Creature — Goblin Mutant,['R'],['R'],{3}{R},5,5,"Whenever Goblin Psychopath attacks or blocks, flip a coin. If you lose the flip, the next time it would deal combat damage this turn, it deals that damage to you instead.",[]
189a8c23-4d30-4b0b-8561-b8c22bbc194a,Oashra Cultivator,j22,Jumpstart 2022,common,Creature — Human Druid,['G'],['G'],{G},0,3,"{2}{G}, {T}, Sacrifice Oashra Cultivator: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",[]
190fc5e1-013d-485d-a4a1-bf616a53098d,Moldgraf Millipede,j22,Jumpstart 2022,common,Creature — Insect Horror,['G'],['G'],{4}{G},2,2,"When Moldgraf Millipede enters the battlefield, mill three cards, then put a +1/+1 counter on Moldgraf Millipede for each creature card in your graveyard. (To mill a card, put the top card of your library into your graveyard.)",['Mill']
19866e42-5248-42c5-a2a1-13fe0d646068,Flames of the Firebrand,j22,Jumpstart 2022,uncommon,Sorcery,['R'],['R'],{2}{R},,,"Flames of the Firebrand deals 3 damage divided as you choose among one, two, or three targets.",[]
19f13eb3-4f41-4b42-b5c9-e3b5a25b722f,So Tiny,j22,Jumpstart 2022,common,Enchantment — Aura,['U'],['U'],{U},,,"Flash
Enchant creature
Enchanted creature gets -2/-0. It gets -6/-0 instead as long as its controller has seven or more cards in their graveyard.","['Enchant', 'Flash']"
1b9993c2-eaf7-4163-bd19-8161025cad56,Chittering Rats,j22,Jumpstart 2022,common,Creature — Rat,['B'],['B'],{1}{B}{B},2,2,"When Chittering Rats enters the battlefield, target opponent puts a card from their hand on top of their library.",[]
1ba45332-1231-41be-ae79-454674b70ff4,"Barrin, Tolarian Archmage",j22,Jumpstart 2022,rare,Legendary Creature — Human Wizard,['U'],['U'],{1}{U}{U},2,2,"When Barrin, Tolarian Archmage enters the battlefield, return up to one other target creature or planeswalker to its owner's hand.
At the beginning of your end step, if a permanent was put into your hand from the battlefield this turn, draw a card.",[]
1c4a71ea-ac26-4f61-96fc-bb7152cb5341,Winter's Rest,j22,Jumpstart 2022,common,Snow Enchantment — Aura,['U'],['U'],{1}{U},,,"Enchant creature
When Winter's Rest enters the battlefield, tap enchanted creature.
As long as you control another snow permanent, enchanted creature doesn't untap during its controller's untap step.",['Enchant']
1d28885f-9a4a-4364-b95c-7544b2efa7da,Crippling Chill,j22,Jumpstart 2022,common,Instant,['U'],['U'],{2}{U},,,"Tap target creature. It doesn't untap during its controller's next untap step.
Draw a card.",[]
1e1d50c3-3219-49cb-8f63-c1faff93215c,Isu the Abominable,j22,Jumpstart 2022,mythic,Legendary Snow Creature — Yeti,['U'],"['G', 'U', 'W']",{3}{U}{U},5,5,"You may look at the top card of your library any time.
You may play snow lands and cast snow spells from the top of your library.
Whenever another snow permanent enters the battlefield under your control, you may pay {G}, {W}, or {U}. If you do, put a +1/+1 counter on Isu the Abominable.",[]
1e30459a-4114-4074-a70f-615d84e75a61,Leave in the Dust,j22,Jumpstart 2022,common,Instant,['U'],['U'],{3}{U},,,"Return target nonland permanent to its owner's hand.
Draw a card.",[]
1e7f1f29-dabb-4887-8930-30c9dc797a31,Lookout's Dispersal,j22,Jumpstart 2022,uncommon,Instant,['U'],['U'],{2}{U},,,"This spell costs {1} less to cast if you control a Pirate.
Counter target spell unless its controller pays {4}.",[]
1eae2fa8-032a-49d5-8e5f-de742cded9c2,Attended Healer,j22,Jumpstart 2022,uncommon,Creature — Kor Cleric,['W'],['W'],{3}{W},2,3,"Whenever you gain life for the first time each turn, create a 1/1 white Cat creature token.
{2}{W}: Another target Cleric gains lifelink until end of turn.",[]
1ef77d59-ad3d-4888-894b-7439f9a57999,Challenger Troll,j22,Jumpstart 2022,uncommon,Creature — Troll,['G'],['G'],{4}{G},6,5,Each creature you control with power 4 or greater can't be blocked by more than one creature.,[]
1f2e14c7-1bee-4bc6-ad26-03dc55e149d5,Karfell Kennel-Master,j22,Jumpstart 2022,common,Creature — Zombie Berserker,['B'],['B'],{4}{B},4,4,"When Karfell Kennel-Master enters the battlefield, up to two target creatures each get +1/+0 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",[]
1f69f0bf-6626-4418-9335-b79d75c99df1,Biblioplex Kraken,j22,Jumpstart 2022,uncommon,Creature — Kraken,['U'],['U'],{4}{U},4,5,"When Biblioplex Kraken enters the battlefield, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
Whenever Biblioplex Kraken attacks, you may return another creature you control to its owner's hand. If you do, Biblioplex Kraken can't be blocked this turn.",['Scry']
1f9de75b-5295-4c7f-b149-b9cd508db1f2,Marauding Blight-Priest,j22,Jumpstart 2022,common,Creature — Vampire Cleric,['B'],['B'],{2}{B},3,2,"Whenever you gain life, each opponent loses 1 life.",[]
2014229c-11cd-4289-bf06-1b55d1f2939a,Skyhunter Prowler,j22,Jumpstart 2022,common,Creature — Cat Knight,['W'],['W'],{2}{W},1,3,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","['Flying', 'Vigilance']"
209a1c1e-7fe8-42b4-81d7-3ad0d14f0549,Littjara Kinseekers,j22,Jumpstart 2022,common,Creature — Shapeshifter,['U'],['U'],{3}{U},2,4,"Changeling (This card is every creature type.)
When Littjara Kinseekers enters the battlefield, if you control three or more creatures that share a creature type, put a +1/+1 counter on Littjara Kinseekers, then scry 1.","['Changeling', 'Scry']"
21d98bb7-911b-410b-a4d3-54d411900717,Pilfering Hawk,j22,Jumpstart 2022,common,Snow Creature — Bird,['U'],['U'],{1}{U},1,2,"Flying
{S}, {T}: Draw a card, then discard a card. ({S} can be paid with one mana from a snow source.)",['Flying']
2227b652-f429-4b2a-ab43-ce551eb0a59d,Sparkmage Apprentice,j22,Jumpstart 2022,common,Creature — Human Wizard,['R'],['R'],{1}{R},1,1,"When Sparkmage Apprentice enters the battlefield, it deals 1 damage to any target.",[]
22e20032-685c-47e0-98cd-f48ddc2de90e,Avalanche Caller,j22,Jumpstart 2022,uncommon,Snow Creature — Human Wizard,['U'],['U'],{1}{U},1,3,{2}: Target snow land you control becomes a 4/4 Elemental creature with hexproof and haste until end of turn. It's still a land. (A creature with hexproof can't be the target of spells or abilities your opponents control.),[]
22ee3947-e147-4d04-bb01-161a72ffdf0e,Endbringer,j22,Jumpstart 2022,rare,Creature — Eldrazi,[],[],{5}{C},5,5,"Untap Endbringer during each other player's untap step.
{T}: Endbringer deals 1 damage to any target.
{C}, {T}: Target creature can't attack or block this turn.
{C}{C}, {T}: Draw a card.",[]
23829580-9ae9-41c1-9b58-aea07389110d,Thriving Grove,j22,Jumpstart 2022,common,Land,[],['G'],,,,"Thriving Grove enters the battlefield tapped.
As Thriving Grove enters the battlefield, choose a color other than green.
{T}: Add {G} or one mana of the chosen color.",[]
238a5103-6688-4fe5-ab93-b949afd0c2ca,Memorial to Genius,j22,Jumpstart 2022,uncommon,Land,[],['U'],,,,"Memorial to Genius enters the battlefield tapped.
{T}: Add {U}.
{4}{U}, {T}, Sacrifice Memorial to Genius: Draw two cards.",[]
23a07251-005c-4f09-8310-a934e3b9d5c1,Perilous Voyage,j22,Jumpstart 2022,uncommon,Instant,['U'],['U'],{1}{U},,,"Return target nonland permanent you don't control to its owner's hand. If its mana value was 2 or less, scry 2.",['Scry']
23e799bd-87c7-4f62-87a9-6f8f8d459db8,Bag of Holding,j22,Jumpstart 2022,rare,Artifact,[],[],{1},,,"Whenever you discard a card, exile that card from your graveyard.
{2}, {T}: Draw a card, then discard a card.
{4}, {T}, Sacrifice Bag of Holding: Return all cards exiled with Bag of Holding to their owner's hand.",[]
23f8f288-69da-438d-967b-167060fdcbb9,Radiant's Judgment,j22,Jumpstart 2022,common,Instant,['W'],['W'],{2}{W},,,"Destroy target creature with power 4 or greater.
Cycling {2} ({2}, Discard this card: Draw a card.)",['Cycling']
24d8e9d2-8c5b-4f75-ac03-df23435f3404,Combat Professor,j22,Jumpstart 2022,common,Creature — Bird Cleric,['W'],['W'],{3}{W},2,3,"Flying
At the beginning of combat on your turn, target creature you control gets +1/+0 and gains vigilance until end of turn.",['Flying']
2599b027-1ff8-48b8-8a90-8ac1fac7ed63,Coldsteel Heart,j22,Jumpstart 2022,uncommon,Snow Artifact,[],[],{2},,,"Coldsteel Heart enters the battlefield tapped.
As Coldsteel Heart enters the battlefield, choose a color.
{T}: Add one mana of the chosen color.",[]
25d00252-f2db-4065-8242-d4bf2b30e201,Consign to the Pit,j22,Jumpstart 2022,common,Sorcery,['B'],['B'],{5}{B},,,Destroy target creature. Consign to the Pit deals 2 damage to that creature's controller.,[]
25ffebc3-8ad4-42da-b4f2-837ae22dee72,Exsanguinate,j22,Jumpstart 2022,uncommon,Sorcery,['B'],['B'],{X}{B}{B},,,Each opponent loses X life. You gain life equal to the life lost this way.,[]
26096a40-fc6a-42ce-acbf-ce0ebc4ad3b4,Thriving Moor,j22,Jumpstart 2022,common,Land,[],['B'],,,,"Thriving Moor enters the battlefield tapped.
As Thriving Moor enters the battlefield, choose a color other than black.
{T}: Add {B} or one mana of the chosen color.",[]
263a6d4d-693e-4170-bda8-2e21540e69c9,Naga Vitalist,j22,Jumpstart 2022,common,Creature — Naga Druid,['G'],['G'],{1}{G},1,2,{T}: Add one mana of any type that a land you control could produce.,[]
27238e0e-c676-44f5-841c-6e4a3a3f6374,Dragon Fodder,j22,Jumpstart 2022,common,Sorcery,['R'],['R'],{1}{R},,,Create two 1/1 red Goblin creature tokens.,[]
272a9a89-6318-487a-b6f6-cc4ccd744f54,Ignite the Future,j22,Jumpstart 2022,rare,Sorcery,['R'],['R'],{3}{R},,,"Exile the top three cards of your library. Until the end of your next turn, you may play those cards. If this spell was cast from a graveyard, you may play cards this way without paying their mana costs.
Flashback {7}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",['Flashback']
27591452-2750-4eed-bded-832bdee79e00,Bristling Boar,j22,Jumpstart 2022,common,Creature — Boar,['G'],['G'],{3}{G},4,3,Bristling Boar can't be blocked by more than one creature.,[]
2778f8ac-6abc-4e28-838d-fd68ce34120e,Dreadful Apathy,j22,Jumpstart 2022,common,Enchantment — Aura,['W'],['W'],{2}{W},,,"Enchant creature
Enchanted creature can't attack or block.
{2}{W}: Exile enchanted creature.",['Enchant']
